external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
ANT-LOU-17aa1493-2,CVD-0000162,75708304,76911941,ANT-LOU-17aa1493-2,True,True,True
ANT-LOU-17aa1493-3,CVD-0000163,75708305,76911942,ANT-LOU-17aa1493-3,True,True,False
ANT-OPE-3ffdc102-1,CVD-0000164,75708306,76911943,ANT-OPE-3ffdc102-1,True,False,False
ANT-OPE-45835252-1,CVD-0000165,75708307,76911944,ANT-OPE-45835252-1,True,False,False
ANT-OPE-45835252-2,CVD-0000166,75708308,76911945,ANT-OPE-45835252-2,True,False,False
ANT-OPE-47f3bb65-1,CVD-0000167,75708309,76911946,LON-WEI-b8d98729-34,True,True,True
LON-WEI-b8d98729-34,CVD-0000167,75708309,76913747,LON-WEI-b8d98729-34,True,True,True
TOM-OIS-cbf37265-2,CVD-0000167,75708309,76915635,LON-WEI-b8d98729-34,True,True,True
ANT-OPE-47f3bb65-2,CVD-0000168,75708310,76911947,ANT-OPE-47f3bb65-2,True,False,False
ANT-OPE-47f3bb65-3,CVD-0000169,75708311,76911948,ANT-OPE-47f3bb65-3,True,False,False
ANT-OPE-47f3bb65-4,CVD-0000170,75708312,76911949,ANT-OPE-47f3bb65-4,True,False,False
ANT-OPE-47f3bb65-5,CVD-0000171,75708313,76911950,ANT-OPE-47f3bb65-5,True,False,False
ANT-OPE-6a16a9ad-1,CVD-0000172,75708314,76911951,ANT-OPE-6a16a9ad-1,True,False,False
ANT-OPE-6a16a9ad-2,CVD-0000173,75708315,76911952,ANT-OPE-6a16a9ad-2,True,False,False
ANT-OPE-7824651a-1,CVD-0000174,75708316,76911953,ANT-OPE-7824651a-1,True,True,False
ANT-OPE-7824651a-2,CVD-0000175,75708317,76911954,ANT-OPE-7824651a-2,True,False,False
ANT-OPE-7c194559-1,CVD-0000176,75708318,76911955,ANT-OPE-7c194559-1,True,False,False
ANT-OPE-81f9835f-1,CVD-0000177,75708319,76911956,ANT-OPE-81f9835f-1,True,False,False
ANT-OPE-997bdc93-1,CVD-0000178,75708320,76911957,ANT-OPE-997bdc93-1,True,False,False
ANT-OPE-997bdc93-2,CVD-0000179,75708321,76911958,ANT-OPE-997bdc93-2,True,False,False
ANT-OPE-a517596a-1,CVD-0000180,75708322,76911959,ANT-OPE-a517596a-1,True,False,False
ANT-OPE-ab37bd51-1,CVD-0000181,75708323,76911960,ANT-OPE-ab37bd51-1,True,True,True
