SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,1.24,-4.97,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,6.19,-2.71,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,0.772,0.541,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,0.772,1.33,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,1.24,1.92,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,3.71,3.3,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,3.71,3.3,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,6.19,3.69,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,12.4,16.1,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,12.4,17.6,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,24.8,25.3,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,24.8,27.7,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,49.5,44.9,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,49.5,45.6,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,99.0,59.5,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,63.7,55.8,72.8,1.12,0.975,99.0,59.6,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,1.24,-4.97,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,1.24,-4.77,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,0.772,3.59,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,0.772,4.28,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,6.19,7.72,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,3.71,11.5,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,3.71,11.9,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,6.19,15.2,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,12.4,33.5,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,12.4,35.2,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,24.8,49.9,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,24.8,51.0,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,49.5,66.7,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,49.5,67.2,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,99.0,80.2,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,25.4,22.4,28.9,1.16,0.981,99.0,82.9,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,3.71,1.72,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,3.71,2.61,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,1.24,2.61,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,0.772,3.0,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,0.772,3.1,TRY-UNI-714a760b-12
