shipment_ID,catalog_ID,Formula,stereochemistry,MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
Z4457849204,Z4457849204,C23H29N3O2S,Racemic or presumed racemic or meso,411.56,100,200415-FTE,,,0,40,20,1181202-Y40-01,K03,CSCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-({[2-(methylsulfanyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849218,Z4457849218,C24H31N3O2,Diastereomeric mixture,393.52,100,200415-FTE,,,0,40,20,1181202-Y40-01,L03,CCC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-{[(butan-2-yl)carbamoyl](pyridin-3-yl)methyl}-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849189,Z4457849189,C25H31N3O4,Racemic or presumed racemic or meso,437.53,95.84,200415-FTE,,,0,40,20,1181202-Y40-01,M03,CCOC(=O)CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,ethyl 3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}propanoate
Z4457849226,Z4457849226,C25H31N3O3,Racemic or presumed racemic or meso,421.53,98.85,200415-FTE,,,0,40,20,1181202-Y40-01,N03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCOCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-{[(oxan-4-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849194,Z4457849194,C26H33N3O4,Racemic or presumed racemic or meso,451.55,81,200415-FTE,,,0,40,20,1181202-Y40-01,O03,CCOC(=O)CCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,ethyl 4-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}butanoate
Z4457849234,Z4457849234,C28H30FN3O2,Racemic or presumed racemic or meso,459.55,100,200415-FTE,,,0,40,20,1181202-Y40-01,P03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849232,Z4457849232,C28H31N3O4,Racemic or presumed racemic or meso,473.56,100,200415-FTE,,,0,40,20,1181202-Y40-01,A04,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=C(OC)C1,"N-(4-tert-butylphenyl)-N-{[(2,4-dimethoxyphenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide"
Z4457849188,Z4457849188,C26H31N3O4,Diastereomeric mixture,449.54,95.44,200415-FTE,,,0,40,20,1181202-Y40-01,B04,COC(=O)C1CC(C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,methyl 3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}cyclobutane-1-carboxylate
Z4457849227,Z4457849227,C27H29N3O2,Racemic or presumed racemic or meso,427.53,100,200415-FTE,,,0,40,20,1181202-Y40-01,C04,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=CC2)C=3C=CC=NC3)C(=O)C=C,N-[(benzylcarbamoyl)(pyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849217,Z4457849217,C22H27N3O2,Racemic or presumed racemic or meso,365.46,100,200415-FTE,,,0,40,20,1181202-Y40-01,D04,CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-[(ethylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849206,Z4457849206,C25H31N3O3,Diastereomeric mixture,421.53,96.6,200415-FTE,,,0,40,20,1181202-Y40-01,E04,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCOC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(oxolan-3-yl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
