SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-23,93.92,40,10.0,28.94208297,28.40065431,,,81.08409895,82.25401076,oxford,LON-WEI-b8d98729-23
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-24,90.57,40,10.0,9.399070065,9.394995275,,,54.67220872,56.33861763,oxford,LON-WEI-b8d98729-24
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-25,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-25
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-26,89.29,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-26
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-28,100.0,40,10.0,No Inhibition,No Inhibition,,,64.0535758,71.87482946,oxford,LON-WEI-b8d98729-28
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-29,90.99,40,10.0,3.405003152,5.979722003,,,77.8393434,89.04634314,oxford,LON-WEI-b8d98729-29
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-30,100.0,40,10.0,No Inhibition,No Inhibition,,,18.43788214,22.73276203,oxford,LON-WEI-b8d98729-30
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-31,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-31
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-32,81.29,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-32
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-1,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-1
