CID,SMILES,canonical_CID,inchikey,old_CID,short_inchikey
MAK-UNK-148caf23-20,CNCc1cc(-c2cccc(CNc3ccc(C#N)cn3)c2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-20,IUAONNDSXLOONW-UHFFFAOYSA-N,MAK-UNK-148-20,IUAONNDSXLOONW
MAK-UNK-148caf23-21,CNCc1cc(-c2ccc(CNc3ccc(C#N)cn3)cc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-21,XUMMQRPMJPOIAH-UHFFFAOYSA-N,MAK-UNK-148-21,XUMMQRPMJPOIAH
MAK-UNK-148caf23-22,CNCc1cc(-c2cc(CNc3ccc(C#N)cn3)ccc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-22,JGBPGDVUBOLWTO-UHFFFAOYSA-N,MAK-UNK-148-22,JGBPGDVUBOLWTO
MAK-UNK-148caf23-23,CNCc1cc(-c2c(F)cccc2CNc2ccc(C#N)cn2)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-23,ITKMCDRWCPNQRN-UHFFFAOYSA-N,MAK-UNK-148-23,ITKMCDRWCPNQRN
MAK-UNK-148caf23-3,CCNc1ccc(C#N)c(NCc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)n1,MAK-UNK-148caf23-3,AWXCHXRSENUSHM-UHFFFAOYSA-N,MAK-UNK-148-3,AWXCHXRSENUSHM
MAK-UNK-148caf23-4,CCNc1ncc(C#N)cc1NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-4,HZKQBAZQLNAWSN-UHFFFAOYSA-N,MAK-UNK-148-4,HZKQBAZQLNAWSN
MAK-UNK-148caf23-5,CCNc1ccc(C#N)cc1NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-5,MNCIWNILPKDECB-UHFFFAOYSA-N,MAK-UNK-148-5,MNCIWNILPKDECB
MAK-UNK-148caf23-6,CCC(NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1)c1ccc(C#N)cn1,MAK-UNK-148caf23-6,HKBYVYDQOOIDRF-UHFFFAOYSA-N,MAK-UNK-148-6,HKBYVYDQOOIDRF
MAK-UNK-148caf23-7,CC(NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1)Nc1ccc(C#N)cn1,MAK-UNK-148caf23-7,SYPMWANXOWNKLC-UHFFFAOYSA-N,MAK-UNK-148-7,SYPMWANXOWNKLC
MAK-UNK-148caf23-8,N#Cc1ccc(NCCNCc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)nc1,MAK-UNK-148caf23-8,JAQIGFCRRQOOKA-UHFFFAOYSA-N,MAK-UNK-148-8,JAQIGFCRRQOOKA
MAK-UNK-148caf23-9,CC(CNc1ccc(C#N)cn1)Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-148caf23-9,GCXCRBSRASYTHV-UHFFFAOYSA-N,MAK-UNK-148-9,GCXCRBSRASYTHV
MAK-UNK-176ca439-1,CC(=O)NCCCC(=O)NCC(=O)NCN1CCN(C(=O)CCl)CC1,MAK-UNK-176ca439-1,VKFYJBJQYSGFHV-UHFFFAOYSA-N,MAK-UNK-176-1,VKFYJBJQYSGFHV
MAK-UNK-176ca439-2,CNC(=O)C(NCCNC(C)=O)c1cccc(CN2CCN(C(=O)CCl)CC2)c1,MAK-UNK-176ca439-2,SRMWMTXONOASNN-UHFFFAOYSA-N,MAK-UNK-176-2,SRMWMTXONOASNN
MAK-UNK-176ca439-3,CNCCSC(=O)c1cccc(CN2CCN(C(=O)CCl)CC2)c1,MAK-UNK-176ca439-3,AZIPXVMHPGXZFO-UHFFFAOYSA-N,MAK-UNK-176-3,AZIPXVMHPGXZFO
MAK-UNK-176ca439-4,COC1CCCC(Oc2cccc(CN3CCN(C(=O)CCl)CC3)c2)C1,MAK-UNK-176ca439-4,WAFXIVIEVKZGAN-UHFFFAOYSA-N,MAK-UNK-176-4,WAFXIVIEVKZGAN
MAK-UNK-176ca439-5,O=C(CNCc1c[nH]c2ccc(F)cc12)NCc1ccc(CN2CCN(C(=O)CCl)CC2)cc1,MAK-UNK-176ca439-5,MFYMCFDPYDRNEQ-UHFFFAOYSA-N,MAK-UNK-176-5,MFYMCFDPYDRNEQ
MAK-UNK-176ca439-6,CC(CO)(COc1c[nH]c2ccc(F)cc12)Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1,MAK-UNK-176ca439-6,UKKZXMIXVPKUAS-UHFFFAOYSA-N,MAK-UNK-176-6,UKKZXMIXVPKUAS
MAK-UNK-176ca439-7,O=C(CCl)N1CCN(Cc2cccc(CCCNc3c[nH]c4ccc(F)cc34)c2)CC1,MAK-UNK-176ca439-7,KNGQSOSKILHLCD-UHFFFAOYSA-N,MAK-UNK-176-7,KNGQSOSKILHLCD
