SMILES,CID,fragments,real_space,SCR,BB,covalent_frag,link
COc1ccc2[nH]c3c(c2c1)CCNC3,JOH-MSK-a63-8,x0104,False,Z2574931994,EN300-374268,False,https://covid.postera.ai/covid/submissions/JOH-MSK-a63
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec6-2,x0104,False,False,EN300-219936,False,https://covid.postera.ai/covid/submissions/JOH-MSK-ec6
CC(=O)N1CCN(C(=O)N2CCCOCC2)CC1,JOH-UNI-27a-19,"x1077,x1385",Z3371917508,False,False,True,https://covid.postera.ai/covid/submissions/JOH-UNI-27a
O=C(CCl)N1CCN(Cc2ccc(Br)s2)CC1,JOH-UNI-27a-23,"x1077,x1385",Z1562119730,Z147647732,False,True,https://covid.postera.ai/covid/submissions/JOH-UNI-27a
CC1COCCN1c1ccc(C#N)nc1,JOH-UNI-522-1,"x0434,x1077",Z1348340774,False,False,False,https://covid.postera.ai/covid/submissions/JOH-UNI-522
CC1OCCN(c2ccc(C#N)nc2)C1C,JOH-UNI-522-2,"x0434,x1077",Z1439420781,False,False,False,https://covid.postera.ai/covid/submissions/JOH-UNI-522
CC1CNCCN1c1ccc(C#N)nc1,JOH-UNI-522-3,"x0434,x1077",Z2368273090,False,False,False,https://covid.postera.ai/covid/submissions/JOH-UNI-522
CC1CN(C)CCN1c1ccc(C#N)nc1,JOH-UNI-522-4,"x0434,x1077",Z1798321811,False,False,False,https://covid.postera.ai/covid/submissions/JOH-UNI-522
C[C@H](NC(=O)C(F)F)c1cccc(F)c1,JON-UIO-066-14,"x0689,x0769,x0831,x1382",Z32586657,False,False,True,https://covid.postera.ai/covid/submissions/JON-UIO-066
C[C@H](NC(=O)[C@@H](C)c1ccc(F)c(F)c1)c1cccc(F)c1,JON-UIO-066-7,"x0689,x0769,x0831,x1382",Z1264100733,False,False,True,https://covid.postera.ai/covid/submissions/JON-UIO-066
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,JON-UIO-066-9,"x0689,x0769,x0831,x1382",Z1786577487,False,False,True,https://covid.postera.ai/covid/submissions/JON-UIO-066
C=CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1,JOO-IND-637-1,"x0786,x0830",Z2517211306,False,False,True,https://covid.postera.ai/covid/submissions/JOO-IND-637
CC#CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1,JOO-IND-637-3,"x0786,x0830",Z2013366253,False,False,True,https://covid.postera.ai/covid/submissions/JOO-IND-637
CC#CC(=O)N1CCN(Cc2cccc3ccccc23)CC1,JOO-IND-637-5,"x0786,x0830",Z1873143728,False,False,True,https://covid.postera.ai/covid/submissions/JOO-IND-637
C=CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13-1,x0749,Z2517205905,Z2517205905,EN300-7519499,True,https://covid.postera.ai/covid/submissions/JOO-IND-b13
CC#CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13-3,x0749,Z2012938561,False,False,True,https://covid.postera.ai/covid/submissions/JOO-IND-b13
Cc1cccc(CN2CCC(C#N)CC2)c1,JOO-PER-74f-1,x0692,Z951437880,False,False,True,https://covid.postera.ai/covid/submissions/JOO-PER-74f
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,JOR-UNI-2fc-7,"x0387,x0434,x0991",Z44592325,False,False,False,https://covid.postera.ai/covid/submissions/JOR-UNI-2fc
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,JOR-UNI-61e-2,"x0305,x0434",Z195739680,Z195739680,False,False,https://covid.postera.ai/covid/submissions/JOR-UNI-61e
C=CC(=O)NCc1ccc(C(=O)NCc2cc(C)cc3c(C)c(C)[nH]c23)cc1,JUA-UNI-bc0-2,x1382,Z970632906,False,False,True,https://covid.postera.ai/covid/submissions/JUA-UNI-bc0
C=CC(=O)NCc1ccc(C(=O)N[C@H](CO)c2ccc(Br)c(F)c2)cc1,JUA-UNI-bc0-4,x1382,Z2230105989,False,False,True,https://covid.postera.ai/covid/submissions/JUA-UNI-bc0
