SMILES,CID,REAL,inchikey
c1c(Cl)ccc(c12)OCC[C@H]2C(=O)[N-]c3nncn3C4CC4,JAG-UCB-a3ef7265-20,Z2077725504-4,MMSFMHOFPDOWCH-LLVKDONJSA-M
FC(F)(F)c1cc(ccc1)CS(=O)(=O)[C@H](C)c2nc(C)no2,JAG-UCB-a3ef7265-21,Z416902834-1,DDLDBQZOLZEKDW-MRVPVSSYSA-N
Cc1c(Cl)c(C)cc(c1)NC(=O)Cn2cncc2C,JAG-UCB-a3ef7265-22,Z2711909345,FFKSMDNANFWQRE-UHFFFAOYSA-N
c1cncc(c1CC)NC(=O)Cc(n2)cccc2C(F)(F)F,JAG-UCB-a3ef7265-23,Z2960655360-1,WFXWGHHTPVLTRG-UHFFFAOYSA-N
n1cccn1-c(ncnc2)c2[N-]C(=O)[C@@H]3COc(c34)cc(C)c(C)c4,JAG-UCB-a3ef7265-24,Z1715965908-4,KZWLRNZTZMDTTL-CQSZACIVSA-M
Cc1ccncc1NC(=O)CCOC1CC1,MAT-POS-590ac91e-10,s_22____3391102____14416032,AETWHZPDRBYLTE-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CC(C)C(C)C,MAT-POS-590ac91e-11,s_22____3391102____3020648,PPQIRWKGFHIKDH-UHFFFAOYSA-N
Cc1ccncc1NC(=O)[C@@H]1CNC(=O)O1,MAT-POS-590ac91e-12,s_22____3391102____10738618,BHJIMEUKJRNOLF-QMMMGPOBSA-N
CC(=O)N[C@@H](C)C(=O)Nc1cnccc1C,MAT-POS-590ac91e-13,s_22____3391102____17512206,JVWPHZCMAXHAIA-QMMMGPOBSA-N
Cc1ccncc1NC(=O)[C@H](C)OC(F)F,MAT-POS-590ac91e-16,Z2767641972,XVSORZZOZIKMAO-ZETCQYMHSA-N
Cc1ccncc1NC(=O)CCc1ccn[nH]1,MAT-POS-590ac91e-17,s_22____3391102____13968894,XSWRKHPDQMIZRE-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C1CC(C2CC2)C1,MAT-POS-590ac91e-18,Z2703873181,SPZNGMCOZXKTMM-UHFFFAOYSA-N
Cc1ccncc1NC(=O)[C@@H]1[C@H]2CCCC[C@H]21,MAT-POS-590ac91e-19,s_22____3391102____16520594,UPGQLXSOIHDKRZ-PJXYFTJBSA-N
CO[C@@H](C)C(=O)Nc1cnccc1C,MAT-POS-590ac91e-2,s_22____3391102____16232090,OLSGFXBRKUAQDZ-QMMMGPOBSA-N
Cc1ccnc(C)c1NC(=O)C1CC2CC2C1,MAT-POS-590ac91e-20,s_11____10117600____11971764,LHEQMRNQZMMUKL-UHFFFAOYSA-N
