SMILES,external_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,CID
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-28,Z4438424253,Z4438424253,527.5,100.0,40,10.0,1169103-Y40-01,O07,,LON-WEI-b8d98729-28
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3,LON-WEI-b8d-29,Z4439011585,Z4439011585,525.53,90.99,40,10.0,1169103-Y40-01,P07,,LON-WEI-b8d98729-29
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-30,Z4438424254,Z4438424254,458.55,100.0,40,10.0,1169103-Y40-01,A08,,LON-WEI-b8d98729-30
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(OC)N=C2,AAR-POS-5507155c-2,PG-COV-40,PG-COV-40,,,20,,,A1,,AAR-POS-5507155c-2
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NNC=C3)=CC=C2,LON-WEI-120e5cf5-2,PG-COV-24,PG-COV-24,,,20,,,A2,,LON-WEI-120e5cf5-2
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(OC)=C(OC)C(OC)=C2,LON-WEI-120e5cf5-3,PG-COV-3,PG-COV-3,,,20,,,A3,,LON-WEI-120e5cf5-3
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(N3C(NCC3)=O)C=C2,LON-WEI-120e5cf5-4,PG-COV-7,PG-COV-7,,,20,,,A4,,LON-WEI-120e5cf5-4
O=C(C1CCN(C(CCl)=O)CC1)N(C)C2=CC=CC=C2,LON-WEI-120e5cf5-5,PG-COV-34,PG-COV-34,,,20,,,A5,,LON-WEI-120e5cf5-5
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NN=C4C3CCCC4)=CC=C2,LON-WEI-120e5cf5-6,PG-COV-25,PG-COV-25,,,20,,,A6,,LON-WEI-120e5cf5-6
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C3=NC(C)=NN3)=CC=C2C,LON-WEI-120e5cf5-7,PG-COV-26,PG-COV-26,,,20,,,A7,,LON-WEI-120e5cf5-7
