SMILES,CID,real_space,SCR,BB,extended_real_space
CC(=O)N1CCN(S(=O)(=O)c2ccsc2)CC1,MAK-UNK-4c6b313a-1,Z2068569549,False,False,s_40____79524____10118994
CCCNC(=O)CCOc1ccc(C)cc1,MAK-UNK-5e88aa6a-1,Z33029230,False,False,s_22____58027____59338
CC(C)=CCN1CCC(O)CC1,MAK-UNK-5e88aa6a-12,False,False,False,s_2230____679016____681184
Cc1ccc(-c2ccsc2)cn1,MAK-UNK-5e88aa6a-14,s_271570____9007614____11652296,False,False,s_271570____9007614____11652296
Cc1ccc(-c2ccsc2)nc1,MAK-UNK-5e88aa6a-15,False,False,False,s_271570____9007614____13455692
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-6435e6c2-1,Z29501928,Z29501928,False,s_40____79524____79334
CC(=O)N1CCN(S(=O)(=O)c2ccsc2)CC1,MAK-UNK-6435e6c2-10,Z2068569549,False,False,s_40____79524____10118994
CC(=O)N1CCN(S(=O)(=O)c2ccsc2)CC1,MAK-UNK-6435e6c2-11,Z2068569549,False,False,s_40____79524____10118994
CC(=O)N1CCN(Cc2cccs2)CC1,MAK-UNK-6435e6c2-2,Z73427756,False,False,s_22____103199____58844
CC(=O)N1CCN(Cc2ccsc2)CC1,MAK-UNK-6435e6c2-3,Z110132172,Z110132172,False,s_22____137027____58844
CC(=O)Nc1cccc(N2CCCC2=O)c1,MAK-UNK-6435e6c2-4,Z55670923,False,False,s_22____127815____58844
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-6435e6c2-5,Z30722976,Z30722976,False,s_40____79524____79342
CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,MAK-UNK-6435e6c2-6,Z30727410,False,False,False
COC(=O)c1cccc(NS(C)(=O)=O)c1,MAK-UNK-6435e6c2-7,Z24758179,Z24758179,EN300-318985,s_276436____14076652____14086514
CC(=O)Nc1cnccc1C,MAK-UNK-6435e6c2-8,False,Z1129283193,EN300-303896,s_22____3391102____58844
CC1C(O)CCCN1Cc1ccccc1,MAK-UNK-6435e6c2-9,False,Z2217052426,EN300-223218,False
CS(=O)(=O)Nc1cccc(C(=O)OCC(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-4,Z201863772,False,False,False
